#Grid-Scan using Optidos
#Timet: 20-06-24-12:38:46
#Unit: Gy
#Duration: 3 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
25.65;26.4;7.18;0.000006;2;0
25.65;26.4;7.2;0.000006;2;0
25.65;26.4;7.22;0.000006;2;0
25.65;26.4;7.24;0.000006;2;0
25.65;26.4;7.26;0.000006;2;0
25.65;26.4;7.28;0.000006;2;0
25.65;26.4;7.3;0.000006;2;0
25.65;26.4;7.32;0.000006;2;0
25.65;26.4;7.34;0.000006;2;0
25.65;26.4;7.36;0.000006;2;0
25.65;26.4;7.38;0.000006;2;0
25.65;26.4;7.4;0.000006;2;0
25.65;26.4;7.42;0.000006;2;0
25.65;26.4;7.44;0.000006;2;0
25.65;26.4;7.46;0.000006;2;0
25.65;26.4;7.48;0.000006;2;0
25.65;26.4;7.5;0.000006;2;0
25.65;26.4;7.52;0.000006;2;0
25.65;26.4;7.54;0.000006;2;0
25.65;26.4;7.56;0.000006;2;0
25.65;26.4;7.58;0.000006;2;0
25.65;26.4;7.6;0.000006;2;0
25.65;26.4;7.62;0.000005;2;0
25.65;26.4;7.64;0.000006;2;0
25.65;26.4;7.66;0.000006;2;0
25.65;26.4;7.68;0.000006;2;0
25.65;26.4;7.7;0.000006;2;0
25.65;26.4;7.72;0.000006;2;0
25.65;26.4;7.74;0.000006;2;0
25.65;26.4;7.76;0.000005;2;0
25.65;26.4;7.78;0.000005;2;0
25.65;26.4;7.8;0.000005;2;0
25.65;26.4;7.82;0.000005;2;0
25.65;26.4;7.84;0.000005;2;0
25.65;26.4;7.86;0.000006;2;0
25.65;26.4;7.88;0.000004;2;0
25.65;26.4;7.9;0.000005;2;0
25.65;26.4;7.92;0.000005;2;0
25.65;26.4;7.94;0.000006;2;0
25.65;26.4;7.96;0.000003;2;0
25.65;26.4;7.98;0.000005;2;0
25.65;26.4;8;0.000004;2;0
25.65;26.4;8.02;0.000003;2;0
25.65;26.4;8.04;0.000003;2;0
25.65;26.4;8.06;0.000004;2;0
25.65;26.4;8.08;0.000003;2;0
25.65;26.4;8.1;0.000003;2;0
25.65;26.4;8.12;0.000004;2;0
25.65;26.4;8.14;0.000005;2;0
25.65;26.4;8.16;0.000003;2;0
25.65;26.4;8.18;0.000003;2;0
25.65;26.4;8.2;0.000001;2;0
25.65;26.4;8.22;0.000003;2;0
25.65;26.4;8.24;0.000003;2;0
25.65;26.4;8.26;0.000002;2;0
25.65;26.4;8.28;0.000005;2;0
25.65;26.4;8.3;0.000002;2;0
25.65;26.4;8.32;0.000001;2;0
25.65;26.4;8.34;0;2;0
25.65;26.4;8.36;0.000003;2;0
25.65;26.4;8.38;0;2;0
25.65;26.4;8.4;0.000004;2;0
25.65;26.4;8.42;0.000003;2;0
25.65;26.4;8.44;0;2;0
25.65;26.4;8.46;0.000002;2;0
25.65;26.4;8.48;0.000001;2;0
25.65;26.4;8.5;0.000001;2;0
25.65;26.4;8.52;0.000001;2;0
25.65;26.4;8.54;0.000002;2;0
25.65;26.4;8.56;0;2;0
25.65;26.4;8.58;0;2;0
25.65;26.4;8.6;0.000002;2;0
25.65;26.4;8.62;0;2;0
25.65;26.4;8.64;0.000002;2;0
25.65;26.4;8.66;0.000002;2;0
25.65;26.4;8.68;0.000004;2;0
25.65;26.4;8.7;0;2;0
25.65;26.4;8.72;0.000001;2;0
25.65;26.4;8.74;0;2;0
25.65;26.4;8.76;0.000001;2;0
25.65;26.4;8.78;0;2;0
25.65;26.4;8.8;0.000001;2;0
25.65;26.4;8.82;0.000002;2;0
25.65;26.4;8.84;0;2;0
25.65;26.4;8.86;0.000001;2;0
25.65;26.4;8.88;0.000001;2;0
25.65;26.4;8.9;0.000001;2;0
25.65;26.4;8.92;0;2;0
25.65;26.4;8.94;0.000001;2;0
25.65;26.4;8.96;0.000002;2;0
25.65;26.4;8.98;0.000001;2;0
25.65;26.4;9;0;2;0
