#Grid-Scan using Optidos
#Timet: 20-06-24-13:54:23
#Unit: Gy
#Duration: 2 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
24.75;26.7;0;0.01984;0;0
24.95;26.7;0;0.02168;0;0
25.15;26.7;0;0.02309;0;0
25.35;26.7;0;0.02422;0;0
25.55;26.7;0;0.02463;0;0
25.75;26.7;0;0.02467;0;0
25.95;26.7;0;0.0242;0;0
26.15;26.7;0;0.02323;0;0
26.35;26.7;0;0.02171;0;0
26.55;26.7;0;0.01988;0;0
26.75;26.7;0;0.0177;0;0
26.95;26.7;0;0.01533;0;0
27.15;26.7;0;0.0128;0;0
27.35;26.7;0;0.01036;0;0
27.55;26.7;0;0.0081;0;0
27.75;26.7;0;0.006159;0;0
27.95;26.7;0;0.004667;0;0
28.15;26.7;0;0.003528;0;0
28.15;26.9;0;0.003306;0;0
27.95;26.9;0;0.004221;0;0
27.75;26.9;0;0.005537;0;0
27.55;26.9;0;0.007284;0;0
27.35;26.9;0;0.009313;0;0
27.15;26.9;0;0.01174;0;0
26.95;26.9;0;0.0142;0;0
26.75;26.9;0;0.01664;0;0
26.55;26.9;0;0.01885;0;0
26.35;26.9;0;0.02068;0;0
26.15;26.9;0;0.02219;0;0
25.95;26.9;0;0.02318;0;0
25.75;26.9;0;0.02374;0;0
25.55;26.9;0;0.02372;0;0
25.35;26.9;0;0.02322;0;0
25.15;26.9;0;0.02227;0;0
24.95;26.9;0;0.02093;0;0
24.75;26.9;0;0.01916;0;0
24.55;26.9;0;0.01718;0;0
24.35;26.9;0;0.01492;0;0
24.15;26.9;0;0.01263;0;0
23.95;26.9;0;0.01033;0;0
23.75;26.9;0;0.008178;0;0
23.55;26.9;0;0.006362;0;0
23.35;26.9;0;0.004881;0;0
23.15;26.9;0;0.00374;0;0
23.15;27.1;0;0.003463;0;0
23.35;27.1;0;0.004481;0;0
23.55;27.1;0;0.00579;0;0
23.75;27.1;0;0.007471;0;0
23.95;27.1;0;0.009415;0;0
24.15;27.1;0;0.01156;0;0
24.35;27.1;0;0.0138;0;0
24.55;27.1;0;0.0159;0;0
24.75;27.1;0;0.01786;0;0
24.95;27.1;0;0.01952;0;0
25.15;27.1;0;0.02093;0;0
25.35;27.1;0;0.02183;0;0
25.55;27.1;0;0.02232;0;0
25.75;27.1;0;0.02238;0;0
25.95;27.1;0;0.02187;0;0
26.15;27.1;0;0.02093;0;0
26.35;27.1;0;0.01969;0;0
26.55;27.1;0;0.01784;0;0
26.75;27.1;0;0.01585;0;0
26.95;27.1;0;0.01356;0;0
27.15;27.1;0;0.01125;0;0
27.35;27.1;0;0.00906;0;0
27.55;27.1;0;0.007081;0;0
27.75;27.1;0;0.005414;0;0
27.95;27.1;0;0.004149;0;0
28.15;27.1;0;0.003162;0;0
28.15;27.3;0;0.002871;0;0
27.95;27.3;0;0.003658;0;0
27.75;27.3;0;0.00471;0;0
27.55;27.3;0;0.006111;0;0
27.35;27.3;0;0.007888;0;0
27.15;27.3;0;0.009926;0;0
26.95;27.3;0;0.01204;0;0
26.75;27.3;0;0.01425;0;0
26.55;27.3;0;0.01613;0;0
26.35;27.3;0;0.01783;0;0
26.15;27.3;0;0.01913;0;0
25.95;27.3;0;0.02002;0;0
25.75;27.3;0;0.02054;0;0
25.55;27.3;0;0.02051;0;0
25.35;27.3;0;0.0201;0;0
25.15;27.3;0;0.01928;0;0
24.95;27.3;0;0.01806;0;0
24.75;27.3;0;0.01647;0;0
24.55;27.3;0;0.01465;0;0
24.35;27.3;0;0.01269;0;0
24.15;27.3;0;0.01064;0;0
23.95;27.3;0;0.008706;0;0
23.75;27.3;0;0.006892;0;0
23.55;27.3;0;0.005396;0;0
23.35;27.3;0;0.004152;0;0
23.15;27.3;0;0.003225;0;0
23.15;27.5;0;0.002907;0;0
23.35;27.5;0;0.003671;0;0
23.55;27.5;0;0.004743;0;0
23.75;27.5;0;0.005997;0;0
23.95;27.5;0;0.007523;0;0
24.15;27.5;0;0.009258;0;0
24.35;27.5;0;0.01111;0;0
24.55;27.5;0;0.01287;0;0
24.75;27.5;0;0.01456;0;0
24.95;27.5;0;0.01601;0;0
25.15;27.5;0;0.0171;0;0
25.35;27.5;0;0.01808;0;0
25.55;27.5;0;0.01845;0;0
25.75;27.5;0;0.01843;0;0
25.95;27.5;0;0.01802;0;0
26.15;27.5;0;0.01723;0;0
26.35;27.5;0;0.01602;0;0
26.55;27.5;0;0.01456;0;0
26.75;27.5;0;0.01272;0;0
26.95;27.5;0;0.01082;0;0
27.15;27.5;0;0.008933;0;0
27.35;27.5;0;0.007131;0;0
27.55;27.5;0;0.005637;0;0
27.75;27.5;0;0.004343;0;0
27.95;27.5;0;0.003387;0;0
28.15;27.5;0;0.002635;0;0
28.15;27.7;0;0.002323;0;0
27.95;27.7;0;0.002915;0;0
27.75;27.7;0;0.003711;0;0
27.55;27.7;0;0.004731;0;0
27.35;27.7;0;0.005966;0;0
27.15;27.7;0;0.007425;0;0
26.95;27.7;0;0.009035;0;0
26.75;27.7;0;0.01067;0;0
26.55;27.7;0;0.01228;0;0
26.35;27.7;0;0.01366;0;0
26.15;27.7;0;0.01483;0;0
25.95;27.7;0;0.01558;0;0
25.75;27.7;0;0.01598;0;0
25.55;27.7;0;0.01605;0;0
25.35;27.7;0;0.01571;0;0
25.15;27.7;0;0.01501;0;0
24.95;27.7;0;0.01399;0;0
24.75;27.7;0;0.01274;0;0
24.55;27.7;0;0.01122;0;0
24.35;27.7;0;0.009679;0;0
24.15;27.7;0;0.008108;0;0
23.95;27.7;0;0.00661;0;0
23.75;27.7;0;0.005304;0;0
23.55;27.7;0;0.004201;0;0
23.35;27.7;0;0.003318;0;0
23.15;27.7;0;0.002605;0;0
23.15;27.9;0;0.002274;0;0
23.35;27.9;0;0.002833;0;0
23.55;27.9;0;0.003548;0;0
23.75;27.9;0;0.004453;0;0
23.95;27.9;0;0.005499;0;0
24.15;27.9;0;0.006715;0;0
24.35;27.9;0;0.007995;0;0
24.55;27.9;0;0.009323;0;0
24.75;27.9;0;0.01061;0;0
24.95;27.9;0;0.01175;0;0
25.15;27.9;0;0.01264;0;0
25.35;27.9;0;0.01322;0;0
25.55;27.9;0;0.0136;0;0
25.75;27.9;0;0.01361;0;0
25.95;27.9;0;0.01325;0;0
26.15;27.9;0;0.01254;0;0
26.35;27.9;0;0.01155;0;0
26.55;27.9;0;0.01037;0;0
26.75;27.9;0;0.009108;0;0
26.95;27.9;0;0.007651;0;0
27.15;27.9;0;0.006288;0;0
27.35;27.9;0;0.005104;0;0
27.55;27.9;0;0.00409;0;0
27.75;27.9;0;0.003276;0;0
27.95;27.9;0;0.002595;0;0
28.15;27.9;0;0.00205;0;0
28.15;28.1;0;0.001767;0;0
27.95;28.1;0;0.002172;0;0
27.75;28.1;0;0.002691;0;0
27.55;28.1;0;0.003347;0;0
27.35;28.1;0;0.00414;0;0
27.15;28.1;0;0.005069;0;0
26.95;28.1;0;0.006044;0;0
26.75;28.1;0;0.007094;0;0
26.55;28.1;0;0.008235;0;0
26.35;28.1;0;0.009206;0;0
26.15;28.1;0;0.01008;0;0
25.95;28.1;0;0.01072;0;0
25.75;28.1;0;0.01105;0;0
25.55;28.1;0;0.01106;0;0
25.35;28.1;0;0.01083;0;0
25.15;28.1;0;0.01036;0;0
24.95;28.1;0;0.009644;0;0
24.75;28.1;0;0.008714;0;0
24.55;28.1;0;0.007707;0;0
24.35;28.1;0;0.006628;0;0
24.15;28.1;0;0.005574;0;0
23.95;28.1;0;0.004601;0;0
23.75;28.1;0;0.003789;0;0
23.55;28.1;0;0.003044;0;0
23.35;28.1;0;0.002465;0;0
23.15;28.1;0;0.001972;0;0
23.15;28.3;0;0.001711;0;0
23.35;28.3;0;0.00206;0;0
23.55;28.3;0;0.002528;0;0
23.75;28.3;0;0.003062;0;0
23.95;28.3;0;0.003731;0;0
24.15;28.3;0;0.004473;0;0
24.35;28.3;0;0.005261;0;0
24.55;28.3;0;0.00611;0;0
24.75;28.3;0;0.006854;0;0
24.95;28.3;0;0.007594;0;0
25.15;28.3;0;0.008191;0;0
25.35;28.3;0;0.008548;0;0
25.55;28.3;0;0.008708;0;0
25.75;28.3;0;0.008688;0;0
25.95;28.3;0;0.008468;0;0
26.15;28.3;0;0.007983;0;0
26.35;28.3;0;0.007367;0;0
26.55;28.3;0;0.006587;0;0
26.75;28.3;0;0.005787;0;0
26.95;28.3;0;0.004925;0;0
27.15;28.3;0;0.004154;0;0
27.35;28.3;0;0.003459;0;0
27.55;28.3;0;0.002864;0;0
27.75;28.3;0;0.002327;0;0
